Year,Month,Day,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Precip. Amount (mm)
1964,1,31,-35.145833333333336,-36.93888888888889,72.05555555555556,21.27777777777778,6.791666666666667,15.545833333333334,100.90500000000002,,-43.05555555555556,
1964,2,1,-27.758333333333336,-31.266666666666666,71.75,15.227272727272728,10.833333333333334,24.100000000000005,98.83458333333334,,-36.90909090909091,
1964,2,2,-23.933333333333334,-27.03333333333333,75.5,27.153846153846157,3.2916666666666665,23.100000000000005,97.39375,,-29.384615384615383,
1964,2,3,-23.354166666666668,-26.6125,74.625,25.68421052631579,6.708333333333333,20.562500000000004,98.37708333333336,,-29.68421052631579,
1964,2,4,-25.7875,-29.416666666666668,71.45833333333333,17.0,5.333333333333333,20.36666666666667,100.23833333333334,,-31.476190476190474,
1964,2,5,-18.241666666666667,-21.9625,72.625,13.583333333333334,9.875,24.100000000000005,100.11791666666666,,-24.70833333333333,
1964,2,6,-14.895833333333334,-17.829166666666666,78.54166666666667,16.357142857142858,3.5,24.100000000000005,98.8325,,-14.428571428571429,
1964,2,7,-20.34583333333333,-22.85,80.625,19.714285714285715,1.25,14.329166666666667,99.24666666666668,,-24.571428571428573,
1964,2,8,-21.2625,-23.7,81.04166666666667,26.4,1.5833333333333333,13.875,99.43625,,-23.7,
1964,2,9,-24.745833333333334,-27.5,77.58333333333333,14.266666666666667,4.333333333333333,16.337500000000002,99.8475,,-30.0,
1964,2,10,-30.19583333333333,-33.57083333333333,72.375,30.142857142857142,2.1666666666666665,11.483333333333334,100.56666666666666,,-34.642857142857146,
1964,2,11,-33.787499999999994,-35.65294117647059,69.52941176470588,9.27777777777778,4.208333333333333,19.02083333333333,100.56166666666668,,-41.16666666666666,
1964,2,12,-35.32083333333333,-37.94210526315789,66.89473684210526,31.0,2.458333333333333,12.800000000000002,100.73583333333332,,-39.72727272727273,
1964,2,13,-40.41666666666666,-39.1,63.4,8.0,0.25,22.566666666666677,101.4775,,-43.5,
1964,2,14,-37.516666666666666,-39.06363636363636,69.63636363636364,32.333333333333336,1.1666666666666667,14.341666666666669,101.40666666666668,,-43.0,
1964,2,15,-36.90833333333333,-40.07368421052632,69.05263157894737,33.23809523809524,4.875,16.758333333333336,101.09791666666666,,-43.57142857142857,
1964,2,16,-41.47083333333333,-39.15,70.5,29.375,2.4166666666666665,13.616666666666667,101.17958333333335,,-46.125,
1964,2,17,-41.0875,-33.32857142857143,70.14285714285714,28.625,1.9583333333333333,9.2375,101.40125,,-45.375,
1964,2,18,-39.07083333333333,-39.54,65.1,30.5,1.5416666666666667,3.204166666666667,101.78249999999998,,-43.5,
1964,2,19,-40.62916666666667,-40.75,64.5,28.5,1.5416666666666667,12.816666666666665,102.5125,,-44.8,
1964,2,20,-34.57916666666667,-35.80555555555556,67.61111111111111,8.304347826086957,7.458333333333333,12.516666666666666,101.82041666666667,,-42.869565217391305,
1964,2,21,-30.691666666666663,-34.7625,67.5,9.85,5.708333333333333,22.433333333333337,101.8675,,-36.4,
1964,2,22,-22.820833333333336,-25.991666666666664,75.58333333333333,19.82608695652174,8.75,13.283333333333331,100.555,,-29.91304347826087,
1964,2,23,-25.616666666666664,-29.33333333333333,72.79166666666667,20.38095238095238,7.916666666666667,19.4875,101.5825,,-32.61904761904762,
1964,2,24,-17.354166666666668,-20.570833333333333,76.33333333333333,11.173913043478262,7.458333333333333,20.01666666666667,100.97208333333332,,-22.956521739130437,
1964,2,25,-12.133333333333333,-14.370833333333332,83.625,9.541666666666666,7.25,19.679166666666667,99.87166666666668,,-16.416666666666668,
1964,2,26,-18.129166666666663,-21.17083333333333,76.66666666666667,28.94117647058824,4.208333333333333,11.420833333333334,100.19416666666667,,-22.352941176470587,
1964,2,27,-21.683333333333334,-25.15833333333333,74.08333333333333,11.63157894736842,9.166666666666666,20.76666666666667,100.06041666666664,,-29.63157894736842,
