Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,-21.4,-14.6,-2.6,5.4,13.1,19.3,18.5,16.4,10.5,-2.2,-14.8,-17.1
1982,-18.9,-17.3,-9.8,6.1,11.4,18.0,18.6,16.5,10.2,4.1,-2.3,-12.8
1983,-15.1,-14.4,-3.5,0.7,9.4,16.9,18.2,17.2,8.9,4.3,-2.4,-13.9
1984,-20.6,-21.9,-6.5,0.0,11.1,17.9,17.8,16.0,10.3,3.6,-8.9,-18.5
1985,-16.4,-21.4,-9.8,3.8,9.9,14.9,19.1,16.2,9.5,2.3,-5.8,-17.9
1986,-17.7,-17.5,-5.0,2.8,11.3,16.8,21.0,17.0,10.5,0.5,-9.8,-16.1
1987,-16.3,-14.3,-11.1,3.1,12.3,13.8,19.4,18.2,11.1,0.6,-12.1,-12.0
1988,-19.0,-19.2,-8.6,4.8,10.2,15.8,17.6,16.8,11.5,3.1,-5.6,-13.4
1989,-14.5,-14.7,-1.8,3.9,12.2,15.9,19.9,17.1,9.3,3.7,-10.3,-13.4
1990,-20.6,-14.0,-2.9,4.3,14.5,17.4,21.4,17.0,9.9,4.5,-7.1,-10.2
1991,-14.4,-11.5,-8.8,3.0,10.5,17.6,20.8,17.0,10.4,2.8,-6.7,-18.0
1992,-10.7,-14.3,-7.3,3.6,13.2,16.6,21.3,16.5,7.7,1.3,-5.3,-12.3
1993,-17.5,-11.4,-5.2,3.8,9.5,16.9,20.6,16.7,9.2,3.1,-13.1,-15.7
1994,-14.3,-19.1,-6.5,4.2,12.0,20.8,20.7,16.2,9.6,2.8,-6.1,-14.2
1995,-16.5,-12.3,-3.8,4.8,10.8,14.5,20.4,18.5,9.0,4.5,-3.0,-12.7
1996,-21.7,-20.0,-9.7,2.3,11.2,16.3,21.5,16.2,7.8,0.7,-9.1,-12.4
1997,-14.4,-12.2,-1.3,8.4,13.0,17.1,18.8,16.8,9.5,3.1,-7.9,-13.8
1998,-20.4,-11.0,-6.5,4.2,11.4,16.5,21.7,19.5,10.4,3.6,-8.0,-8.2
1999,-16.4,-14.4,-15.0,3.9,15.5,17.1,22.5,16.5,9.2,2.0,-8.0,-10.2
2000,-20.9,-12.2,-2.5,6.1,12.6,19.4,19.1,18.1,11.0,0.3,-10.6,-12.5
2001,-21.3,-15.7,-4.2,4.1,15.1,20.1,18.7,19.4,10.5,2.0,-3.3,-16.5
2002,-6.9,-5.6,-0.4,2.5,13.5,18.5,19.8,18.0,10.6,0.2,-6.1,-22.0
2003,-15.6,-14.1,-6.1,3.1,12.0,19.1,18.7,15.9,10.3,1.9,-7.9,-13.3
2004,-19.3,-9.7,-6.0,3.6,13.7,18.4,19.5,16.6,10.9,4.2,-4.9,-16.4
2005,-20.3,-23.8,-5.2,4.9,10.8,18.1,22.4,18.0,10.7,4.9,-5.5,-22.9
2006,-20.7,-17.8,-6.9,-0.1,9.7,18.6,19.4,14.8,10.2,3.1,-5.3,-9.3
2007,-11.8,-8.4,-4.4,8.3,12.8,16.1,22.2,16.6,12.3,1.9,-6.5,-10.0
2008,-21.0,-14.7,0.4,4.7,12.1,19.2,20.6,16.9,9.7,3.4,-1.7,-15.4
2009,-19.1,-19.8,-8.3,6.3,12.5,15.9,20.0,16.8,9.9,2.0,-6.1,-14.1
2010,-25.7,-22.7,-7.6,3.1,9.5,18.1,19.5,16.6,10.6,3.7,-2.0,-19.9
2011,-28.4,-15.0,-6.7,8.1,11.5,19.5,17.9,17.3,10.0,5.2,-8.3,-15.3
2012,-22.2,-25.9,-8.1,4.5,10.8,21.1,20.6,17.0,11.6,3.1,-6.2,-21.6
2013,-18.8,-15.1,-3.8,5.8,10.1,16.3,19.5,18.1,8.9,3.0,-1.0,-8.9
2014,-13.7,-16.4,-0.5,7.7,9.0,16.9,19.9,17.8,9.0,2.1,-5.4,-14.4
2015,-10.8,-11.9,-3.1,7.0,12.5,19.2,21.7,17.9,9.7,4.6,-11.9,-7.5
2016,-26.9,-13.6,-3.4,7.4,10.4,18.9,21.6,16.9,12.1,-2.3,-9.1,-11.6
2017,-13.4,-12.7,-1.1,6.8,12.4,20.4,19.6,16.8,9.5,1.3,-5.9,-12.3
2018,-21.9,-16.4,-6.2,4.4,9.6,20.7,18.9,18.7,10.8,4.1,-5.5,-19.3
2019,-17.5,-17.7,0.4,4.5,9.7,17.5,18.9,18.3,11.7,3.7,-8.3,-12.3
2020,-12.3,-10.3,-1.2,8.9,14.6,15.2,19.5,18.0,10.5,3.1,-3.6,-13.5
