,Year,January,February,March,April,May,June,July,August,September,October,November,December
32,1991,-28.8372623089983,-32.846875,-28.82668519020512,-13.27680555555555,-0.7590053763440862,2.209583333333333,5.224059139784947,4.15013440860215,0.7683333333333332,-9.756720430107528,-27.98555555555556,-33.60456989247312
33,1992,-32.63360215053764,-32.45905172413793,-20.64166666666667,-19.66777777777778,-6.948521505376346,3.517083333333334,5.979622487143525,5.600537634408601,-4.526111111111111,-12.7510752688172,-21.78263888888889,-29.01868279569893
34,1993,-26.55228833468871,-24.83687241200828,-22.74650537634408,-14.36555555555555,-4.057930107526881,3.331666666666666,7.446236559139784,5.861290322580646,-0.548888888888889,-7.104569892473118,-20.5875,-26.91720430107526
35,1994,-35.32868190738211,-31.38833874458874,-26.50821645628798,-17.77541666666666,-3.702524544179524,2.639861111111111,9.848442441492727,8.739036098310294,-1.234583333333333,-6.418279569892473,-25.86829710144928,-29.0766129032258
36,1995,-26.68709677419354,-29.80410714285714,-29.49568902093944,-12.66736111111111,-1.374059139784946,5.316666666666667,6.684811827956988,5.239842215988779,2.281944444444445,-8.755767882187937,-22.04157773386034,-32.33807737260402
37,1996,-29.99973330783289,-27.18906626232338,-24.24163394109396,-18.87606769036117,-5.479744676781842,3.871863416776461,8.364650537634407,3.485618279569893,-1.679094202898551,-15.44946820944367,-21.77038647342995,-26.33984179098134
38,1997,-30.93404043945769,-28.26073369565218,-29.88679236261634,-17.14572738252086,-6.711021505376344,4.97790404040404,9.41048387096774,9.097604020570362,4.181262077294686,-9.544431643625192,-14.81851449275362,-26.55696002805049
39,1998,-33.69658825279443,-26.26272997835498,-19.2856182795699,-6.908194444444445,-0.6119846784818737,6.175102657004831,9.129838709677417,7.76733870967742,2.440416666666666,-7.953494623655914,-18.95449494949495,-24.98431085043989
40,1999,-32.50201612903226,-27.81439570393374,-27.67664796633941,-17.48059782608696,-4.684022907900888,3.421111111111111,6.053066959921798,7.52509350163628,0.289027777777778,-12.64603786816269,-23.72291666666666,-30.99731501551277
41,2000,-27.69115630356865,-27.66522988505747,-29.45074216923796,-19.33277777777778,-8.879365357643756,4.273888888888889,7.709543010752689,3.740994623655913,-1.255833333333333,-10.35994623655914,-20.33694444444445,-31.40591397849462
42,2001,-24.9111559139785,-26.76911878881988,-31.97795698924731,-18.0575422705314,-8.756989247311827,1.303472222222222,5.562453249181861,6.285453816870366,1.694076086956522,-8.432526881720431,-20.93208333333333,-24.98467157550257
43,2002,-28.25318868407578,-32.05327380952381,-23.85540556334736,-17.14197463768116,-6.285776063581112,2.997083333333333,6.118951612903227,3.732930107526882,1.945277777777777,-7.189381720430108,-15.20513888888889,-16.68051075268817
44,2003,-31.1739247311828,-28.24464285714286,-27.92352150537634,-12.27041666666667,-4.706428237494156,1.925555555555556,7.419623655913979,6.017570869990225,0.0990277777777776,-4.178360215053764,-20.13819444444444,-28.32876344086021
45,2004,-33.41088709677419,-34.51120689655172,-31.46465053763441,-16.86152777777778,-7.203494623655913,4.561944444444444,9.03010752688172,6.465725806451613,-1.177626811594203,-9.845564516129032,-24.55125,-32.4760752688172
46,2005,-26.7619623655914,-28.09196428571429,-24.50443548387097,-16.79272342995169,-3.135752688172043,2.505277777777778,5.872311827956988,6.427150537634407,0.3955555555555555,-7.999596774193549,-24.77656862745098,-22.6875
47,2006,-32.0,-21.61800595238096,-31.33400537634409,-21.65805555555556,-1.620295698924731,6.125555555555557,7.897311827956989,8.840456989247311,3.721388888888889,-5.215188172043011,-23.04097222222222,-20.47029569892473
48,2007,-27.19475806451613,-33.22053571428572,-32.32943548387096,-13.52166666666667,-8.191234221598878,3.960555555555555,9.001747311827955,6.424193548387097,0.800138888888889,-10.32190860215054,-18.81069444444445,-25.94204651706404
