Year,Month,Pv,Klo,TZ,Precipitation (mm), Temperature (degC)
1984,9,1,00:00,UTC,32.2,4.8
1984,10,1,00:00,UTC,34.9,-2
1984,11,1,00:00,UTC,19.4,-10.4
1984,12,1,00:00,UTC,12.7,-6.2
1985,1,1,00:00,UTC,10.7,-20.4
1985,2,1,00:00,UTC,7.7,-23
1985,3,1,00:00,UTC,33,-6.8
1985,4,1,00:00,UTC,11.1,-4
1985,5,1,00:00,UTC,34.8,2.2
1985,6,1,00:00,UTC,16.6,10.3
1985,7,1,00:00,UTC,30.6,14.9
1985,8,1,00:00,UTC,55.5,12.2
1985,9,1,00:00,UTC,85.1,6.4
1985,10,1,00:00,UTC,62.2,0.6
1985,11,1,00:00,UTC,36.5,-6.8
1985,12,1,00:00,UTC,28.6,-18.9
1986,1,1,00:00,UTC,22,-17.7
1986,2,1,00:00,UTC,6.1,-13
1986,3,1,00:00,UTC,11.5,-4.5
1986,4,1,00:00,UTC,32.1,-3.2
1986,5,1,00:00,UTC,38.5,4.8
1986,6,1,00:00,UTC,26,13.9
1986,7,1,00:00,UTC,45,13.4
1986,8,1,00:00,UTC,112.9,9.3
1986,9,1,00:00,UTC,44.2,3.3
1986,10,1,00:00,UTC,26.6,1.5
1986,11,1,00:00,UTC,21.2,-3.3
1986,12,1,00:00,UTC,14,-18.7
1987,1,1,00:00,UTC,3.3,-19.7
1987,2,1,00:00,UTC,52.4,-15.6
1987,3,1,00:00,UTC,27.3,-10.8
1987,4,1,00:00,UTC,9.8,-3.3
1987,5,1,00:00,UTC,33,3.8
1987,6,1,00:00,UTC,69.8,9.3
1987,7,1,00:00,UTC,52.5,11.8
1987,8,1,00:00,UTC,92.2,8.5
1987,9,1,00:00,UTC,23.3,6.1
1987,10,1,00:00,UTC,14.9,5.6
1987,11,1,00:00,UTC,10.4,-8.6
1987,12,1,00:00,UTC,10.6,-16.1
1988,1,1,00:00,UTC,17.5,-12.6
1988,2,1,00:00,UTC,21,-13.1
1988,3,1,00:00,UTC,13.2,-7.8
1988,4,1,00:00,UTC,24.9,-4.4
1988,5,1,00:00,UTC,34.1,4.5
1988,6,1,00:00,UTC,29.1,12
1988,7,1,00:00,UTC,95.3,15.8
1988,8,1,00:00,UTC,52.7,11.2
